Signature,7316-1085,7316-1099,7316-1106,7316-116,7316-161,7316-1746,7316-1763,7316-1946,7316-195,7316-1956,7316-204,7316-2152,7316-2176,7316-2274,7316-2594,7316-2756,7316-2781,7316-2784,7316-2857,7316-3030,7316-3075,7316-343,7316-3625,7316-3765,7316-3769,7316-3771,7316-388,7316-392,7316-3935,7316-409,7316-445,7316-4466,7316-466,7316-515,7316-85,SM_2819,SM_2907,SM_3375,SM_3623,SM_3787,SM4278,SM4279,SM4280,SM4281
SBS9,409.524909457756,0,0,0,0,0,0,1491.70575898973,0,0,0,0,0,670.986406808689,0,1689.36223279499,0,0,2112.24070106455,0,0,0,0,1769.56792094967,798.917773545984,718.933840857751,0,339.667882097604,913.287686969954,0,0,0,0,0,0,3504.34747114482,1304.84147380831,2562.37200045878,1617.85788257023,4364.40481539705,0,1543.23237177866,0,0
SBS11,0,0,0,118.913754869041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBS12,0,0,0,2214.67995647423,0,2226.57570895527,1067.71242835241,0,0,0,0,2034.29410225061,0,0,236.788143316304,0,0,0,0,0,0,0,0,0,0,0,247.129863399777,0,0,0,1192.06925913469,0,0,0,0,5080.99811276741,6442.89924709224,12042.3795091124,6429.87800805455,4889.51743768849,21043.9586027322,25327.8417782164,25482.5023626656,25370.4527112683
SBS17a,938.357394944321,2496.23226959123,2456.07120869292,3641.66778123751,3004.95738251482,3202.51661149338,3062.01558902556,1223.7561679877,2470.32353726032,2926.26352177873,2278.22080910364,3338.16173419869,2718.83731619723,802.222670898772,3121.14214550166,906.412452837942,2530.52383925499,937.968594638798,1394.46952595427,2452.88918411664,2573.03855447655,1131.42525837331,2198.76289224054,1182.78705708569,1078.5711877901,1187.82282351906,3269.16455273805,1391.17522994046,999.424275772955,2800.73708958156,3298.49225448224,1906.46529395284,2311.18813639186,2661.72707940142,2801.42033007568,8956.50494780781,5670.35639197043,9681.29920373718,9149.97949102284,9615.97392240908,9469.04653168073,11099.1725092474,10330.751758954,10741.3110508325
SBS13,521.323233671256,81.7053437330975,411.624954241512,0,0,0,14.1864863107573,540.107943585313,0,234.985234068317,0,0,341.798360367468,427.60591639163,0,336.715948891692,30.7616391481605,455.340751063353,449.774820537701,171.572343171325,162.026968807589,652.727868445999,77.0291253180689,605.031755124816,732.650845279165,574.931643611105,0,620.250696369896,140.19576646981,47.1815114648802,0,655.628363682639,162.850678533959,42.8643976905409,39.8698666515767,0,0,0,0,0,0,0,0,0
SBS17b,0,0,0,0,0,0,0,92.0592930047724,0,0,0,0,0,702.442694989578,0,60.5411686684131,0,683.354671640467,0,0,0,0,0,0,0,0,0,0,0,0,0,97.2808497866097,0,0,0,1987.66582998184,998.999012454173,1636.44649295044,2011.6246335271,2219.08964796933,539.66564176197,791.71961813992,645.589121220562,588.684727447514
SBS30,2935.81095616591,0,0,0,0,0,0,3494.35473014384,0,0,0,0,1020.70149460988,2177.85175690065,0,3456.31999544567,0,2235.27219865336,4590.84168675239,0,0,2486.44145576659,0,3507.72076909706,3593.40038045738,3648.32823117276,0,4551.83950139609,3179.9645967328,0,0,0,0,0,70.3250446471369,0,0,0,0,0,5387.3518590505,11129.7254880105,14986.7031729856,11862.982901106
SBS18,377.846215053732,0,0,0,0,0,226.526897322171,65.9688363440899,0,0,0,0,0,106.114368691638,0,0,0,0,557.46734030465,0,0,787.39507044966,0,0,238.493809238084,313.702148996139,0,0,0,0,0,0,0,0,0,1567.52573847723,519.099886145856,1078.10958100166,853.655094469877,1417.20154575847,0,0,1065.90992139851,1270.6311621684
SBS32,2980.25048592144,3901.96095196262,3972.03424642514,2891.48054307388,3091.17280945554,3038.20400094288,3146.88214369223,3276.7943657672,2883.80158251927,3593.41198567184,3338.37894647285,2719.30086700374,3649.10590035753,3174.02698156941,2876.14261500796,2326.12667216137,3050.44956532327,3184.89573044726,2896.72386541532,3855.65391106206,3182.58579853291,2928.14493518986,3745.99729168045,3056.24720210875,3098.2734590093,3116.96246173129,3300.45158097343,2182.93104159582,2025.24915381367,4038.48287820387,2492.35354432813,3920.95377120022,3220.48359314677,3398.54898328744,3286.66433678295,0,0,0,0,0,0,0,0,0
SBS19,3922.33734733239,4648.33882477944,4294.37233216796,4823.76844830327,4671.67457521276,4465.97195767125,4233.73746168398,3910.51754615296,3918.56572872278,4565.64564326131,4292.11425590827,4693.10981381951,4689.45752627375,3344.74210092267,4559.58219625698,3834.76604280479,4458.69133541752,3943.74794742445,4745.78407841458,4489.66930240473,4268.24059183559,3964.90730514283,4417.25421362795,3801.07478612828,3400.99266643217,4220.5716753051,4778.5671449147,4355.75375363859,4221.22476309342,4166.5503619463,4690.14079389648,3905.03069391794,4507.30705289746,4195.92179611038,4457.56554139706,3587.53074597849,1615.72584591538,3301.23036600908,3513.90554440855,4900.74007093673,3834.35730687023,3751.51399003723,3568.95651847573,4024.11346149843
SBS33,4546.08310405245,4364.55892792016,4350.01446029523,4742.85213924021,4882.01685911209,4363.76201641997,4466.56946854257,5151.38538666926,3974.33370145302,4306.44813411968,4145.86892086896,4439.83617041765,4575.6605804732,4586.65534127446,4276.45431000851,4919.51864000651,4096.36293039891,4928.56520000525,5943.70338116004,4708.4129133702,4407.74644617277,4486.73524244949,4567.32656705045,4915.09157098827,4636.13464455398,5195.59179494878,4686.83770328777,4357.33033071722,4956.92381369567,4171.35529571617,4638.99328231842,4307.31534921915,4308.41614318349,4025.15155650037,4718.53181676309,6408.08695723235,3338.59405841191,6008.5221247069,5753.50752629007,7164.39779285958,5894.23719675894,7491.90284604187,6824.53100147097,6542.505360233
SBS34,45.5609338809257,0,0,0,0,0,0,39.7156475240417,0,0,0,0,0,0,0,48.6612247686084,0,0,66.829374511303,0,0,0,0,16.7400560104537,123.809786202585,2.00383355376543,0,0,34.7781609436816,0,0,0,0,0,0,13754.0457015438,7712.8278076058,14756.8301096642,14322.9756188041,15459.535108889,13523.1905565798,17278.3133878971,22572.7905030535,21904.1021325708
SBS37,11061.1533178059,7888.88694957555,9412.06277918001,8168.27202981681,11687.3940865392,9717.8666822165,9935.73878247582,11435.008224936,9510.43011049658,7545.02843541962,7720.35363690936,9768.65623712596,11266.1107132911,10927.7133869569,8796.69543815493,9577.16872863888,10411.9399521226,11485.5984049623,10753.7851574073,9434.00970158389,8982.9920679922,10669.3462559247,11331.3406341706,9433.67867416831,9679.31519774492,10115.6141107056,10614.4590422493,11530.1462723736,11029.9150223468,9085.61344135605,11825.0805724802,10748.3755903211,9716.38249346737,8169.84994748306,12234.6223461418,47090.8003744776,21528.5801027544,42940.2437953702,45032.2365584425,51714.079498942,31731.0693229279,40345.8100405123,35174.9762135981,36659.9618986169
SBS38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.59324945554,0
SBS39,5636.21496061372,2046.41665327962,3213.93501481959,1420.99011480214,2376.42158816857,1662.46716689956,2283.00257053888,7570.66745445698,2230.16837637493,513.553770245729,2035.79707292934,3257.77566358457,3873.5962790155,4197.67625669781,2391.24787122318,5647.36215654314,3094.22249826805,4536.31985304319,8289.36322547812,1619.64266999726,1815.4029058943,4539.3433509433,2993.08678067664,6435.86790883614,5299.67029203407,5849.20161019165,1716.92885874005,6687.68754909667,5178.69882470275,2264.76918401854,2629.4287374952,5977.39298309052,2288.39931249235,1235.56915068614,3393.81165041902,0,0,0,0,0,0,0,0,0
SBS91,615.64058652785,525.584337193181,599.032479899283,1545.6634565532,594.109049106334,1914.36404984627,1099.47667566719,237.281804607661,598.413497819248,1161.30636652691,693.671552978013,977.395435997971,372.533184025382,1071.30717958371,1396.53945135276,468.579710392942,181.614584074915,1019.17373885,305.893247767535,1435.96616268185,1458.67104712387,1670.30902547945,229.94575920366,578.355599150015,547.079885111416,634.742322234258,1070.0453895618,0,491.170155227775,1107.77761064962,442.825393784755,507.60990508924,505.619447895861,849.989577326882,484.788496638669,4432.63718844796,2380.13097718714,4048.37227874073,3611.73001124533,4172.53508301979,2525.64233508913,3226.15442181915,4147.78063000766,3819.56983463551
SBS10a,0,0,0,0,0,0,0,69.3432648660929,0,0,0,0,0,0,0,0,0,0,59.5061955029559,0,0,0,0,0,0,0,0,25.0595054560101,0,0,0,1678.95510048218,0,0,0,0,0,0,0,0,0,0,0,0
SBS10b,1708.94639208277,1628.15942448001,1782.766889287,2106.83071540273,1882.99255350459,1582.09815563799,1692.05455982847,1487.7365871751,1441.02143107654,1745.62229019976,1576.8386169532,1653.1231698618,1658.15574133431,1425.56226473791,1731.87580498783,1641.8462785466,1530.7287450849,2101.62119655858,2105.4015886297,1904.72701674335,1680.36674752151,1479.04313257899,1728.37126293572,1898.77505959964,1715.7631709475,2090.47318356858,1734.40596940871,1712.7980896532,1748.08297109906,1711.6917278081,1705.00486792625,1842.4432582358,1767.41987676945,1448.44700305335,1577.16653680312,238.961629795307,61.0372278342086,76.4385734020536,462.720926651581,334.121135846438,1084.13131660295,1358.29026155899,1813.00201533305,1763.21069297047
SBS10d,46.3282403000204,0,0,0,0,0,17.8878217612575,0,0,0,0,0,0,1677.17508043123,0,0,0,1196.88926735259,0,0,0,1535.1478392064,0,365.247209752162,16.9972520318063,109.685168556479,0,0,483.57745960382,0,0,0,0,0,0,0,46.7747250830448,0,0,0,0,0,158.881346378406,132.03422643507
